#     r         beta        Ep   
   4.40000     1.40000    43.80536
   4.50000     1.40000    43.88863
   4.60000     1.40000    43.88828
   4.70000     1.40000    44.07410
   4.80000     1.40000    43.86264
   4.90000     1.40000    44.01279
   5.00000     1.40000    44.08222
   0.10000     1.50000    43.62367
   0.20000     1.50000    42.88583
   0.30000     1.50000    42.93896
   0.40000     1.50000    42.22466
   0.50000     1.50000    41.58849
   0.60000     1.50000    41.15103
   0.70000     1.50000    40.56427
   0.80000     1.50000    40.05557
   0.90000     1.50000    39.22888
   1.00000     1.50000    38.72330
   1.10000     1.50000    37.87101
   1.20000     1.50000    37.61132
   1.30000     1.50000    37.24876
   1.40000     1.50000    36.75357
   1.50000     1.50000    36.08029
   1.60000     1.50000    35.86665
   1.70000     1.50000    35.78762
   1.80000     1.50000    43.71882
   1.90000     1.50000    43.86202
   2.00000     1.50000    43.92128
   2.10000     1.50000    44.14465
   2.20000     1.50000    44.26584
   2.30000     1.50000    43.98026
   2.40000     1.50000    43.87610
   2.50000     1.50000    43.56386
   2.60000     1.50000    43.78379
   2.70000     1.50000    44.18719
   2.80000     1.50000    43.98132
   2.90000     1.50000    43.97306
   3.00000     1.50000    43.82813
   3.10000     1.50000    43.75732
   3.20000     1.50000    43.79138
   3.30000     1.50000    43.91320
   3.40000     1.50000    43.94370
   3.50000     1.50000    44.01793
   3.60000     1.50000    43.84641
   3.70000     1.50000    44.30881
   3.80000     1.50000    43.56916
   3.90000     1.50000    43.75363
   4.00000     1.50000    44.13483
   4.10000     1.50000    43.79251
   4.20000     1.50000    43.95268
   4.30000     1.50000    43.59150
   4.40000     1.50000    43.99730
   4.50000     1.50000    43.67156
   4.60000     1.50000    43.70470
   4.70000     1.50000    43.87119
   4.80000     1.50000    44.08188
   4.90000     1.50000    43.86270
   5.00000     1.50000    43.72816
   0.10000     1.60000    43.79005
   0.20000     1.60000    43.43705
   0.30000     1.60000    42.63919
   0.40000     1.60000    42.42721
   0.50000     1.60000    41.57872
   0.60000     1.60000    41.04587
   0.70000     1.60000    40.29582
   0.80000     1.60000    39.96364
   0.90000     1.60000    39.07829
   1.00000     1.60000    37.98408
   1.10000     1.60000    37.77607
   1.20000     1.60000    37.33057
   1.30000     1.60000    36.80530
   1.40000     1.60000    36.43454
   1.50000     1.60000    35.88701
   1.60000     1.60000    35.65797
   1.70000     1.60000    35.77488
   1.80000     1.60000    43.67820
   1.90000     1.60000    43.75936
   2.00000     1.60000    43.94613
   2.10000     1.60000    43.68977
   2.20000     1.60000    43.76738
   2.30000     1.60000    44.02939
   2.40000     1.60000    43.84879
   2.50000     1.60000    44.01381
   2.60000     1.60000    43.69358
   2.70000     1.60000    43.97864
   2.80000     1.60000    43.82301
   2.90000     1.60000    43.84111
   3.00000     1.60000    43.55120
   3.10000     1.60000    43.54351
   3.20000     1.60000    43.79935
   3.30000     1.60000    44.20403
   3.40000     1.60000    43.82802
   3.50000     1.60000    43.70843
   3.60000     1.60000    43.92920
   3.70000     1.60000    44.05314
   3.80000     1.60000    44.01597
   3.90000     1.60000    43.89261
   4.00000     1.60000    43.98066
   4.10000     1.60000    43.76274
   4.20000     1.60000    43.98357
   4.30000     1.60000    43.42256
   4.40000     1.60000    44.02569
   4.50000     1.60000    44.01856
   4.60000     1.60000    43.77201
   4.70000     1.60000    43.65944
   4.80000     1.60000    43.97526
   4.90000     1.60000    43.72843
   5.00000     1.60000    44.07581
   0.10000     1.70000    43.43349
   0.20000     1.70000    42.84501
   0.30000     1.70000    42.50354
   0.40000     1.70000    42.14010
   0.50000     1.70000    41.43031
   0.60000     1.70000    40.64639
   0.70000     1.70000    40.06634
   0.80000     1.70000    39.27538
   0.90000     1.70000    38.95927
   1.00000     1.70000    37.95892
   1.10000     1.70000    37.53461
   1.20000     1.70000    37.22197
   1.30000     1.70000    36.44728
   1.40000     1.70000    36.00674
   1.50000     1.70000    35.73713
   1.60000     1.70000    35.68074
   1.70000     1.70000    43.96419
   1.80000     1.70000    43.92375
   1.90000     1.70000    43.57720
   2.00000     1.70000    43.67731
   2.10000     1.70000    43.97308
   2.20000     1.70000    44.11386
   2.30000     1.70000    43.91125
   2.40000     1.70000    44.03346
   2.50000     1.70000    43.67010
   2.60000     1.70000    43.83806
   2.70000     1.70000    43.86913
   2.80000     1.70000    43.95320
   2.90000     1.70000    43.96317
   3.00000     1.70000    44.16273
   3.10000     1.70000    43.66208
   3.20000     1.70000    43.79091
   3.30000     1.70000    43.84675
   3.40000     1.70000    43.64984
   3.50000     1.70000    43.86682
   3.60000     1.70000    44.12416
   3.70000     1.70000    43.94549
   3.80000     1.70000    43.90702
   3.90000     1.70000    43.74142
   4.00000     1.70000    44.02225
   4.10000     1.70000    44.07120
   4.20000     1.70000    43.66086
   4.30000     1.70000    43.61765
   4.40000     1.70000    44.01392
   4.50000     1.70000    43.76130
   4.60000     1.70000    43.86411
   4.70000     1.70000    43.91178
   4.80000     1.70000    43.68884
   4.90000     1.70000    43.66716
   5.00000     1.70000    43.97814
   0.10000     1.80000    43.42075
   0.20000     1.80000    43.30577
   0.30000     1.80000    42.79929
   0.40000     1.80000    41.86108
   0.50000     1.80000    41.18551
   0.60000     1.80000    40.92201
   0.70000     1.80000    39.82885
