#     r         beta        Ep   
   3.10000     0.90000   186.70036
   3.20000     0.90000   186.78604
   3.30000     0.90000   186.31858
   3.40000     0.90000   185.97819
   3.50000     0.90000   186.87847
   3.60000     0.90000   185.94019
   3.70000     0.90000   185.63806
   3.80000     0.90000   186.09751
   3.90000     0.90000   186.18617
   4.00000     0.90000   186.53289
   4.10000     0.90000   186.39603
   4.20000     0.90000   185.12422
   4.30000     0.90000   186.51802
   4.40000     0.90000   185.80298
   4.50000     0.90000   186.37280
   4.60000     0.90000   186.72254
   4.70000     0.90000   185.88596
   4.80000     0.90000   186.33156
   4.90000     0.90000   186.44917
   5.00000     0.90000   186.44529
   0.10000     1.00000   185.91147
   0.20000     1.00000   184.04701
   0.30000     1.00000   184.09408
   0.40000     1.00000   182.51505
   0.50000     1.00000   181.15546
   0.60000     1.00000   179.68452
   0.70000     1.00000   177.84252
   0.80000     1.00000   184.33263
   0.90000     1.00000   186.51325
   1.00000     1.00000   186.43395
   1.10000     1.00000   186.01859
   1.20000     1.00000   186.49643
   1.30000     1.00000   186.75134
   1.40000     1.00000   185.99444
   1.50000     1.00000   185.75865
   1.60000     1.00000   186.04082
   1.70000     1.00000   186.37376
   1.80000     1.00000   186.30751
   1.90000     1.00000   186.53914
   2.00000     1.00000   186.17389
   2.10000     1.00000   186.11416
   2.20000     1.00000   185.51846
   2.30000     1.00000   187.03704
   2.40000     1.00000   186.58927
   2.50000     1.00000   186.28925
   2.60000     1.00000   187.00348
   2.70000     1.00000   186.31309
   2.80000     1.00000   186.15128
   2.90000     1.00000   186.31831
   3.00000     1.00000   185.50858
   3.10000     1.00000   186.39286
   3.20000     1.00000   186.41569
   3.30000     1.00000   186.24548
   3.40000     1.00000   186.02370
   3.50000     1.00000   186.27629
   3.60000     1.00000   186.63094
   3.70000     1.00000   185.69966
   3.80000     1.00000   186.47980
   3.90000     1.00000   186.25177
   4.00000     1.00000   186.53971
   4.10000     1.00000   185.81572
   4.20000     1.00000   186.08910
   4.30000     1.00000   186.49347
   4.40000     1.00000   186.25688
   4.50000     1.00000   186.61601
   4.60000     1.00000   186.20740
   4.70000     1.00000   185.65473
   4.80000     1.00000   185.89418
   4.90000     1.00000   186.41478
   5.00000     1.00000   185.89221
   0.10000     1.10000   185.79695
   0.20000     1.10000   185.17085
   0.30000     1.10000   183.52041
   0.40000     1.10000   181.97473
   0.50000     1.10000   180.95869
   0.60000     1.10000   179.13458
   0.70000     1.10000   177.55863
   0.80000     1.10000   175.52382
   0.90000     1.10000   185.88716
   1.00000     1.10000   186.37415
   1.10000     1.10000   185.90557
   1.20000     1.10000   186.10687
   1.30000     1.10000   186.26107
   1.40000     1.10000   186.00159
   1.50000     1.10000   186.58791
   1.60000     1.10000   186.38766
   1.70000     1.10000   186.04968
   1.80000     1.10000   186.35181
   1.90000     1.10000   186.63784
   2.00000     1.10000   186.39904
   2.10000     1.10000   185.86100
   2.20000     1.10000   186.06934
   2.30000     1.10000   185.78914
   2.40000     1.10000   186.49573
   2.50000     1.10000   186.23099
   2.60000     1.10000   185.61905
   2.70000     1.10000   186.58658
   2.80000     1.10000   186.68941
   2.90000     1.10000   186.43161
   3.00000     1.10000   186.79934
   3.10000     1.10000   186.64492
   3.20000     1.10000   186.73794
   3.30000     1.10000   186.16622
   3.40000     1.10000   186.26740
   3.50000     1.10000   185.83618
   3.60000     1.10000   185.82112
   3.70000     1.10000   186.68174
   3.80000     1.10000   186.15920
   3.90000     1.10000   186.56428
   4.00000     1.10000   186.63517
   4.10000     1.10000   186.37099
   4.20000     1.10000   186.20239
   4.30000     1.10000   185.73011
   4.40000     1.10000   186.24613
   4.50000     1.10000   186.64519
   4.60000     1.10000   185.83772
   4.70000     1.10000   185.72859
   4.80000     1.10000   186.62265
   4.90000     1.10000   185.45529
   5.00000     1.10000   186.35409
   0.10000     1.20000   184.97783
   0.20000     1.20000   184.00211
   0.30000     1.20000   183.24354
   0.40000     1.20000   182.26276
   0.50000     1.20000   180.77916
   0.60000     1.20000   179.06827
   0.70000     1.20000   176.43605
   0.80000     1.20000   175.05990
   0.90000     1.20000   185.62487
   1.00000     1.20000   186.03584
   1.10000     1.20000   186.02707
   1.20000     1.20000   186.57534
   1.30000     1.20000   185.83422
   1.40000     1.20000   185.83133
   1.50000     1.20000   186.45572
   1.60000     1.20000   185.89180
   1.70000     1.20000   186.68888
   1.80000     1.20000   185.99597
   1.90000     1.20000   186.19461
   2.00000     1.20000   186.51623
   2.10000     1.20000   187.07674
   2.20000     1.20000   186.08563
   2.30000     1.20000   186.06846
   2.40000     1.20000   186.81859
   2.50000     1.20000   186.70384
   2.60000     1.20000   186.67980
   2.70000     1.20000   186.40437
   2.80000     1.20000   186.17141
   2.90000     1.20000   186.10832
   3.00000     1.20000   186.31775
   3.10000     1.20000   186.57468
   3.20000     1.20000   185.91002
   3.30000     1.20000   186.18661
   3.40000     1.20000   186.62880
   3.50000     1.20000   186.60930
   3.60000     1.20000   185.89750
   3.70000     1.20000   186.16423
   3.80000     1.20000   186.10864
   3.90000     1.20000   186.04053
   4.00000     1.20000   186.14309
   4.10000     1.20000   186.06659
   4.20000     1.20000   186.16163
   4.30000     1.20000   185.74173
   4.40000     1.20000   186.41710
   4.50000     1.20000   185.66532
   4.60000     1.20000   186.40259
   4.70000     1.20000   186.52062
   4.80000     1.20000   185.97220
   4.90000     1.20000   186.24164
   5.00000     1.20000   186.09112
   0.10000     1.30000   185.10357
   0.20000     1.30000   183.82691
   0.30000     1.30000   182.92004
   0.40000     1.30000   181.89912
   0.50000     1.30000   179.93813
   0.60000     1.30000   178.43788
   0.70000     1.30000   176.30597
