#     r         beta        Ep   
   4.20000     1.60000   110.57882
   4.30000     1.60000   110.65666
   4.40000     1.60000   110.49098
   4.50000     1.60000   110.78149
   4.60000     1.60000   110.55485
   4.70000     1.60000   110.58762
   4.80000     1.60000   110.65709
   4.90000     1.60000   110.58952
   5.00000     1.60000   110.68311
   0.10000     1.70000   110.48704
   0.20000     1.70000   110.12671
   0.30000     1.70000   109.81077
   0.40000     1.70000   109.86982
   0.50000     1.70000   109.11171
   0.60000     1.70000   108.42741
   0.70000     1.70000   107.58786
   0.80000     1.70000   106.47248
   0.90000     1.70000   105.00634
   1.00000     1.70000   103.36938
   1.10000     1.70000   101.52651
   1.20000     1.70000   100.57048
   1.30000     1.70000   110.64522
   1.40000     1.70000   110.58991
   1.50000     1.70000   110.69223
   1.60000     1.70000   110.68679
   1.70000     1.70000   110.48185
   1.80000     1.70000   110.58065
   1.90000     1.70000   110.62304
   2.00000     1.70000   110.51996
   2.10000     1.70000   110.48637
   2.20000     1.70000   110.65410
   2.30000     1.70000   110.55238
   2.40000     1.70000   110.54471
   2.50000     1.70000   110.56314
   2.60000     1.70000   110.65231
   2.70000     1.70000   110.45403
   2.80000     1.70000   110.65257
   2.90000     1.70000   110.67373
   3.00000     1.70000   110.60653
   3.10000     1.70000   110.55123
   3.20000     1.70000   110.56533
   3.30000     1.70000   110.44364
   3.40000     1.70000   110.37513
   3.50000     1.70000   110.51211
   3.60000     1.70000   110.73387
   3.70000     1.70000   110.39463
   3.80000     1.70000   110.59433
   3.90000     1.70000   110.67728
   4.00000     1.70000   110.63374
   4.10000     1.70000   110.55723
   4.20000     1.70000   110.73935
   4.30000     1.70000   110.61824
   4.40000     1.70000   110.73359
   4.50000     1.70000   110.46818
   4.60000     1.70000   110.44487
   4.70000     1.70000   110.51943
   4.80000     1.70000   110.61485
   4.90000     1.70000   110.43229
   5.00000     1.70000   110.67895
   0.10000     1.80000   110.36660
   0.20000     1.80000   110.27120
   0.30000     1.80000   109.92572
   0.40000     1.80000   109.69621
   0.50000     1.80000   109.19450
   0.60000     1.80000   108.31266
   0.70000     1.80000   107.07788
   0.80000     1.80000   106.18226
   0.90000     1.80000   104.40085
   1.00000     1.80000   102.40338
   1.10000     1.80000   101.01237
   1.20000     1.80000    99.80764
   1.30000     1.80000   110.64856
   1.40000     1.80000   110.44521
   1.50000     1.80000   110.67907
   1.60000     1.80000   110.57409
   1.70000     1.80000   110.63292
   1.80000     1.80000   110.70730
   1.90000     1.80000   110.50343
   2.00000     1.80000   110.58390
   2.10000     1.80000   110.61803
